#SOURCELONG:G	SOURCESHORT:G	SOURCEWEB:http://www.gozzilioni.net																																								
#																																										
# Ability Name	Category of Ability	Type	visible	Special ABility			Restricted Ability	Define			BONUS				STACK	MULT	CHOOSE	SELECT														SOURCEPAGE:										
#																																										
# modification																																										
CATEGORY=Special Ability|Animal Companion.MOD	COMPANIONLIST:Animal Companion|Fox	COMPANIONLIST:Animal Companion|Dinosaur (Swindlespitter)|PRECLASS:1,Druid=1	COMPANIONLIST:Animal Companion|Dinosaur (Fleshraker)|FOLLOWERADJUSTMENT:-3|PRECLASS:1,Druid=4	COMPANIONLIST:Animal Companion|Dinosaur (Bloodstriker),Sea Tiger|FOLLOWERADJUSTMENT:-9|PRECLASS:1,Druid=10,Ranger=20	COMPANIONLIST:Animal Companion|Mastodon|FOLLOWERADJUSTMENT:-15|PRECLASS:1,Druid=16																																					
Expert Skill Level	CATEGORY:Special Ability	TYPE:SkillLevel	VISIBLE:NO				DEFINE:ExpertSkillLVL|0				BONUS:VAR|SkillLVL|ExpertSkillLVL																					SOURCEPAGE:DD										
Faerie Dragon Skill	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+8 racial bonus to any swim checks to perform some special action or avoid a hazard.																												SOURCEPAGE:Drac										
Firenewt Skill	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+5 racial bonus on Ride skill when mounting a Giant Strider.																												SOURCEPAGE:Mon										
Flame Snake Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:It can always take 10 on a climb check even if rushed or threatened.																												SOURCEPAGE:FFo										
Fleshraker Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+10 Racial bonus on Hide checks when in forested area.																												SOURCEPAGE:MM3										
Flying Squirrel Skill	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:It can always take 10 on a Climb, Balance and Jump checks.																												SOURCEPAGE:DDw										
Forest Giant Skill	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+8 racial bonus on Hide checks when in woodland.																												SOURCEPAGE:MM2										
Forest Landwyrm Skill	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+4 racial bonus on Hide checks when in cold or temperate forest envirnment. This bonus on Hide checks increases to +8 when immobile.																												SOURCEPAGE:Drac										
Forest Sloth Skill	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+4 racial bonus on Climb, Move Silently, Spot in when in forest areas.																												SOURCEPAGE:MM2										
Forest Troll Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:It can always take 10 on a climb check even if rushed or threatened. +4 Racial bonus on Hide checks when in a forest.																												SOURCEPAGE:MM3										
Fossergrim Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+8 racial bonus to any swim checks to perform some special action or avoid a hazard. It can always take 10 on a Swim check even if distracted or endangered.																												SOURCEPAGE:FFo										
Fox Skill	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:additional +6 on Hide check when in tall grass or underground.																												SOURCEPAGE:DDW										
Frost Folk Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+8 racial bonus on Hide checks when in snow and ice terrain.																												SOURCEPAGE:Fro										
Genasi Clerical Focus (Air)	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:Clerical Focus (Air)																												SOURCEPAGE:FRCS										
Genasi Clerical Focus (Earth)	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:Clerical Focus (Earth)																												SOURCEPAGE:FRCS										
Genasi Clerical Focus (Fire)	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:Clerical Focus (Fire)																												SOURCEPAGE:FRCS										
Genasi Clerical Focus (Water)	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:Clerical Focus (Water)																												SOURCEPAGE:FRCS										
Genasi Resistance (Air)	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+% racial bonus on saving throws against all Air spells and effects.|AirGenasiBonus				DEFINE:AirGenasiBonus|0																								SOURCEPAGE:FRCS										
Genasi Resistance (Earth)	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+% racial bonus on saving throws against all Earth spells and effects.|EarthGenasiBonus				DEFINE:EarthGenasiBonus|0																								SOURCEPAGE:FRCS										
Genasi Resistance (Fire)	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+% racial bonus on saving throws against all Fire spells and effects.|FireGenasiBonus				DEFINE:FireGenasiBonus|0																								SOURCEPAGE:FRCS										
Genasi Resistance (Water)	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+% racial bonus on saving throws against all Water spells and effects.|WaterGenasiBonus				DEFINE:WaterGenasiBonus|0																								SOURCEPAGE:FRCS										
Gharrem Hide Ability	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+8 Racial bonus on Hide checks when in woodland																												SOURCEPAGE:Nep										
Ghost Brute Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+8 Racial bonus on Survival checks when tracking by scent.																												SOURCEPAGE:SS										
Ghost Sagacious Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES								BONUS:ABILITYPOOL|Ghost Sagacious Skill|%CHOICE				STACK:NO	MULT:YES	CHOOSE:NUMBER|MIN=2|MAX=5|TITLE=Roll 1d4+1 skills.																									
Gibbering Mouther Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+8 racial bonus to any swim checks to perform some special action or avoid a hazard. It can always take 10 on a Swim check even if distracted or endangered. It can use run action while swimming provided it swims in a straight line.																												SOURCEPAGE:LoM										
Glaistig Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+8 racial bonus to any swim checks to perform some special action or avoid a hazard. It can always take 10 on a Swim check even if distracted or endangered. It can use run action while swimming provided it swims in a straight line.																												SOURCEPAGE:MM3										
Glimmerskin Feats	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:A glimmerskin's feats become usable only when the creature is bonded with a host who has the Strength score of at least 13.																												SOURCEPAGE:MM2										
Gnoll Flind Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+2 Racial bonus on Charisma based checks made to influence gnolls.																												SOURCEPAGE:MM3										
Gnome Resistance	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+2 racial bonus on saving throws.																												SOURCEPAGE:FRCS										
Goblin Forestkith Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:It can always take 10 on a climb check even if rushed or threatened. +4 racial bonus on Hide and Move Silently checks when in forested areas. +4 racial bonus on Craft (Weaving) checks to create nets.																												SOURCEPAGE:MM3										
Goblin Snow Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:It can always take 10 on a climb check even if rushed or threatened.																												SOURCEPAGE:Fro										
Gravorg Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+10 bonus on hide checks in subterran areas.																												SOURCEPAGE:MM2										
Green Warder Skill	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+12 racial bonus on Hide check when while in a forest.																												SOURCEPAGE:Mon										
Grey Linnorm Feats	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:A creature that is flung by a grey linnorm after being snatched travels 70 feet and takes 7d6 points of damage.																												SOURCEPAGE:MM2										
Halfling Resistance	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+1 racial bonus on all saving throws																												SOURCEPAGE:FRCS										
Haraknin Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+8 Racial bonus on Survival checks when tracking by scent.																												SOURCEPAGE:FFo										
Harpoon Spider Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:It can always take 10 on a climb check even if rushed or threatened.																												SOURCEPAGE:MM3										
Hellfire Wyrm Feats	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:A creature that is flung by a hellfire wyrm after being snatched travels 100 feet and takes 10d6 points of damage.																												SOURCEPAGE:MM2										
Hill Landwyrm Skill	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+4 racial bonus on Hide checks when in hill terrain. This bonus on Hide checks increases to +8 when immobile.																												SOURCEPAGE:Drac										
Hoard Scarab Skill	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+4 racial bonus on Hide checks when they are concealed amongs coins. Can always choose to take 10 on Climb checks, even if rushed or threatened.																												SOURCEPAGE:Drac										
Hook Horror Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+8 racial bonus on Hide checks when in subterranean areas.																												SOURCEPAGE:MM2										
Hound of the Gloom Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:It can always take 10 on a climb check even if rushed or threatened.																												SOURCEPAGE:MM3										
Hypnocular Hide Ability	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+8 racial bonus on Hide checks in grass lands																												SOURCEPAGE:Nep										
Ice Drake Skill	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+8 racial bonus to any swim checks to perform some special action or avoid a hazard. +4 racial bonus on Hide check in icy environments.																												SOURCEPAGE:Drac										
Ice Toad Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+8 racial bonus on Hide checks when in snow and ice terrain.																												SOURCEPAGE:Fro										
Ironmaw Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+15 Racial bonus on Hide checks when in wooded areas.																												SOURCEPAGE:FFo										
Jarilith Skill	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:In areas of tall grass or heavy underground its Hide bonus improves to +12.																												SOURCEPAGE:MM2										
Julajimus Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+10 bonus on Disguise checks when using its polymorph self ability.																												SOURCEPAGE:MM2										
Jungle Landwyrm Skill	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+4 racial bonus on Hide checks when in warm forest or jungle environment. This bonus on Hide checks increases to +8 when immobile.																												SOURCEPAGE:Drac										
Keeper Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:It can always take 10 on a climb check even if rushed or threatened. They are not limited by size when determining the distance they can jump.																												SOURCEPAGE:FFo										
Kelp Angler Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+8 racial bonus to any swim checks to perform some special action or avoid a hazard. It can always take 10 on a Swim check even if distracted or endangered.																												SOURCEPAGE:FFo										
Kelpie Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+8 racial bonus to any swim checks to perform some special action or avoid a hazard. It can always take 10 on a Swim check even if distracted or endangered.																												SOURCEPAGE:FFo										
Kennelmaster Skill Level	CATEGORY:Special Ability	TYPE:SkillLevel	VISIBLE:NO				DEFINE:KennelmasterSkillLVL|0				BONUS:VAR|SkillLVL|KennelmasterSkillLVL																					SOURCEPAGE:DD										
Kuldurath Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:It can always take 10 on a climb check even if rushed or threatened.																												SOURCEPAGE:FFo										
Legendary Eagle Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+12 racial bonus on Spot checks made in daylight.																												SOURCEPAGE:MM2										
Legendary Tiger Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+16 racial bonus on Hide checks in tall grass or heavy undergrowth.																												SOURCEPAGE:MM2										
Legendary Wolf Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+8 racial bonus on Survival checks when tracking by scent.																												SOURCEPAGE:MM2										
Lhosk Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:It can always take 10 on a climb check even if rushed or threatened.																												SOURCEPAGE:MM3										
Lifeleech Otyugh Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:It can always take 10 on a climb check even if rushed or threatened.+8 Racial bonus on Hide checks when in its lair due to its natural coloration.																												SOURCEPAGE:MM3										
Living Holocaust Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:The heat and light a living holocaust emits cause it to take a -10 penalty on Hide checks. It's nearly impossible for a living holocaust to hide, but in areas of other flames and fire or in any substantial blaze, living holocaust have a +10 racial bonus on Hide checks.																												SOURCEPAGE:FFo										
Lucent Worm Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+8 racial bonus to any swim checks to perform some special action or avoid a hazard. It can always take 10 on a Swim check even if distracted or endangered.																												SOURCEPAGE:FFo										
Malasynep Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+8 racial bonus to any swim checks to perform some special action or avoid a hazard. It can always take 10 on a Swim check. It can use run action while swimming provided it swims in a straight line.																												SOURCEPAGE:Fro										
Maug Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:Maug receive skills as thought they were outsiders.																												SOURCEPAGE:FFo										
Maurezhi Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+12 circumstance bonus on Disguise checks when using Assume Shape ability.																												SOURCEPAGE:FFo										
Merchant Skill Level	CATEGORY:Special Ability	TYPE:SkillLevel	VISIBLE:NO				DEFINE:MerchantSkillLVL|0				BONUS:VAR|SkillLVL|MerchantSkillLVL																					SOURCEPAGE:DD										
Merrow Low Light Vision	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:Half-Merrow see four times as far as a human in condition of dim light.																												SOURCEPAGE:Ssh										
Mountain Landwyrm Skill	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+4 racial bonus on Hide checks when in mountain terrain. This bonus on Hide checks increases to +8 when immobile.																												SOURCEPAGE:Drac										
Mountain Troll Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+4 racial bonus on Hide checks when in the Mountains.																												SOURCEPAGE:MM3										
Mud Golem Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+8 racial bonus to any swim checks to perform some special action or avoid a hazard. It can always take 10 on a Swim check even if distracted or endangered. It can use run action while swimming provided it swims in a straight line. +15 circumstance bonus on Hide checks when submerged in mud.																												SOURCEPAGE:MM3										
Mudmaw Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+20 Racial bonus on Hide checks when in water.																												SOURCEPAGE:MM2										
Myrmyxicus Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+8 racial bonus to any swim checks to perform some special action or avoid a hazard. It can always take 10 on a Swim check even if distracted or endangered.																												SOURCEPAGE:FFo										
Necrophidius Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:It can always take 10 on a climb check even if rushed or threatened.																												SOURCEPAGE:FFo										
Needlefolk Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+16 Racial bonus on Hide checks when stationary in forest.+8 racial bonus when moving half-speed in forest.																												SOURCEPAGE:MM2										
Needletooth Swarm Skills	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	OUTPUTNAME:+4 Racial bonus on Hide checks when in dense foliage, jungle or heavy underbrush.																												SOURCEPAGE:MM3										
